Id	Desc	Name
104	廖晖	廖晖
105	廖暉	廖暉
106	梁光烈	梁光烈
107	张平	张平
108	張平	張平
109	韩启德	韩启德
110	韓啟德	韓啟德
111	杜青林	杜青林
112	马凯	马凯
113	馬凱	馬凱
114	周济	周济
115	周濟	周濟
116	阿沛·阿旺晋美	阿沛·阿旺晋美
117	阿沛·阿旺晉美	阿沛·阿旺晉美
118	汪歧山	汪歧山
119	孟建柱	孟建柱
120	万钢	万钢
121	萬鋼	萬鋼
122	王岐山	王岐山
123	帕巴拉·格列朗杰	帕巴拉·格列朗杰
124	帕巴拉·格列朗傑	帕巴拉·格列朗傑
125	戴秉国	戴秉国
126	戴秉國	戴秉國
127	李毅中	李毅中
128	周铁农	周铁农
129	周鐵農	周鐵農
130	马万祺	马万祺
131	馬萬祺	馬萬祺
132	杨晶	杨晶
133	楊晶	楊晶
134	李建国	李建国
135	李建國	李建國
136	白立忱	白立忱
137	耿惠昌	耿惠昌
138	司马义·铁力瓦尔地	司马义·铁力瓦尔地
139	司馬義·鐵力瓦爾地	司馬義·鐵力瓦爾地
140	陈奎元	陈奎元
141	陳奎元	陳奎元
142	马馼	马馼
143	馬馼	馬馼
144	蒋树声	蒋树声
145	蔣樹聲	蔣樹聲
146	阿不来提·阿不都热西提	阿不来提·阿不都热西提
147	阿不來提·阿不都熱西提	阿不來提·阿不都熱西提
148	李学举	李学举
149	李學舉	李學舉
150	陈昌智	陈昌智
151	陳昌智	陳昌智
152	李兆焯	李兆焯
153	吴爱英	吴爱英
154	吳愛英	吳愛英
155	严隽琪	严隽琪
156	嚴雋琪	嚴雋琪
157	黄孟复	黄孟复
158	黃孟複	黃孟複
159	谢旭人	谢旭人
160	謝旭人	謝旭人
161	曹建明	曹建明
162	刘志军	刘志军
163	劉志軍	劉志軍
164	孙家正	孙家正
165	孫家正	孫家正
166	厉无畏	厉无畏
167	厲無畏	厲無畏
168	陈竺	陈竺
169	陳竺	陳竺
170	罗富和	罗富和
171	羅富和	羅富和
172	陈宗兴	陈宗兴
173	陳宗興	陳宗興
174	周小川	周小川
175	刘家义	刘家义
176	劉家義	劉家義
177	汪洋	汪洋
178	张榕明	张榕明
179	張榕明	張榕明
180	姜伟新	姜伟新
181	薑偉新	薑偉新
182	张梅颖	张梅颖
183	張梅穎	張梅穎
184	徐绍史	徐绍史
185	徐紹史	徐紹史
186	李源潮	李源潮
187	桑国卫	桑国卫
188	桑國衛	桑國衛
189	董建华	董建华
190	董建華	董建華
191	尹蔚民	尹蔚民
192	郑万通	郑万通
193	鄭萬通	鄭萬通
194	孙政才	孙政才
195	孫政才	孫政才
196	邓朴方	邓朴方
197	鄧朴方	鄧朴方
198	周生贤	周生贤
199	周生賢	周生賢
200	陈德铭	陈德铭
201	陳德銘	陳德銘
202	徐才厚	徐才厚
203	林文漪	林文漪
204	蔡武	蔡武
205	NPC	NPC
206	乔峰	乔峰
207	喬峰	喬峰
208	萧峰	萧峰
209	蕭峰	蕭峰
210	王建军	王建军
211	王建軍	王建軍
212	王滔	王滔
213	尚进	尚进
214	尚進	尚進
215	火狐	火狐
216	搜狐	搜狐
217	火狐数码	火狐数码
218	火狐數碼	火狐數碼
219	fuck	fuck
220	日本	日本
221	小泉	小泉
222	外挂	外挂
223	外掛	外掛
224	提示	提示
225	http	http
226	http:	http:
227	http://	http://
228	www.	www.
229	.com	.com
230	.net	.net
231	.org	.org
232	.int	.int
233	.edu	.edu
234	.gov	.gov
235	.mil	.mil
236	.arpa	.arpa
237	.biz	.biz
238	.info	.info
239	.name	.name
240	.pro	.pro
241	.coop	.coop
242	.aero	.aero
243	.museum	.museum
244	.tv	.tv
245	.ad	.ad
246	.ae	.ae
247	.af	.af
248	.ag	.ag
249	.ai	.ai
250	.al	.al
251	.am	.am
252	.an	.an
253	.ao	.ao
254	.aq	.aq
255	.ar	.ar
256	.as	.as
257	.at	.at
258	.au	.au
259	.aw	.aw
260	.az	.az
261	.ba	.ba
262	.bb	.bb
263	.bd	.bd
264	.be	.be
265	.bf	.bf
266	.bg	.bg
267	.bh	.bh
268	.bi	.bi
269	.bj	.bj
270	.bm	.bm
271	.bn	.bn
272	.bo	.bo
273	.br	.br
274	.bs	.bs
275	.bt	.bt
276	.bv	.bv
277	.bw	.bw
278	.by	.by
279	.bz	.bz
280	.ca	.ca
281	.cc	.cc
282	.cf	.cf
283	.cg	.cg
284	.ch	.ch
285	.ci	.ci
286	.ck	.ck
287	.cl	.cl
288	.cm	.cm
289	.cn	.cn
290	.co	.co
291	.cq	.cq
292	.cr	.cr
293	.cu	.cu
294	.cv	.cv
295	.cx	.cx
296	.cy	.cy
297	.cz	.cz
298	.de	.de
299	.dj	.dj
300	.dk	.dk
301	.dm	.dm
302	.do	.do
303	.dz	.dz
304	.ec	.ec
305	.ee	.ee
306	.eg	.eg
307	.eh	.eh
308	.es	.es
309	.et	.et
310	.ev	.ev
311	.fi	.fi
312	.fj	.fj
313	.fk	.fk
314	.fm	.fm
315	.fo	.fo
316	.fr	.fr
317	.ga	.ga
318	.gb	.gb
319	.gd	.gd
320	.ge	.ge
321	.gf	.gf
322	.gh	.gh
323	.gi	.gi
324	.gl	.gl
325	.gm	.gm
326	.gn	.gn
327	.gp	.gp
328	.gr	.gr
329	.gt	.gt
330	.gu	.gu
331	.gw	.gw
332	.gy	.gy
333	.hk	.hk
334	.hm	.hm
335	.hn	.hn
336	.hr	.hr
337	.ht	.ht
338	.hu	.hu
339	.id	.id
340	.ie	.ie
341	.il	.il
342	.in	.in
343	.io	.io
344	.iq	.iq
345	.ir	.ir
346	.is	.is
347	.it	.it
348	.jm	.jm
349	.jo	.jo
350	.jp	.jp
351	.ke	.ke
352	.kg	.kg
353	.kh	.kh
354	.ki	.ki
355	.km	.km
356	.kn	.kn
357	.kp	.kp
358	.kr	.kr
359	.kw	.kw
360	.ky	.ky
361	.kz	.kz
362	.la	.la
363	.lb	.lb
364	.lc	.lc
365	.li	.li
366	.lk	.lk
367	.lr	.lr
368	.ls	.ls
369	.lt	.lt
370	.lu	.lu
371	.lv	.lv
372	.ly	.ly
373	.ma	.ma
374	.mc	.mc
375	.md	.md
376	.mg	.mg
377	.mh	.mh
378	.ml	.ml
379	.mm	.mm
380	.mn	.mn
381	.mo	.mo
382	.mp	.mp
383	.mq	.mq
384	.mr	.mr
385	.ms	.ms
386	.mt	.mt
387	.mv	.mv
388	.mw	.mw
389	.mx	.mx
390	.my	.my
391	.mz	.mz
392	.na	.na
393	.nc	.nc
394	.ne	.ne
395	.nf	.nf
396	.ng	.ng
397	.ni	.ni
398	.nl	.nl
399	.no	.no
400	.np	.np
401	.nr	.nr
402	.nt	.nt
403	.nu	.nu
404	.nz	.nz
405	.om	.om
406	.pa	.pa
407	.pe	.pe
408	.pf	.pf
409	.pg	.pg
410	.ph	.ph
411	.pk	.pk
412	.pl	.pl
413	.pm	.pm
414	.pn	.pn
415	.pr	.pr
416	.pt	.pt
417	.pw	.pw
418	.py	.py
419	.qa	.qa
420	.re	.re
421	.ro	.ro
422	.ru	.ru
423	.rw	.rw
424	.sa	.sa
425	.sb	.sb
426	.sc	.sc
427	.sd	.sd
428	.se	.se
429	.sg	.sg
430	.sh	.sh
431	.si	.si
432	.sj	.sj
433	.sk	.sk
434	.sl	.sl
435	.sm	.sm
436	.sn	.sn
437	.so	.so
438	.sr	.sr
439	.st	.st
440	.su	.su
441	.sy	.sy
442	.sz	.sz
443	.tc	.tc
444	.td	.td
445	.tf	.tf
446	.tg	.tg
447	.th	.th
448	.tj	.tj
449	.tk	.tk
450	.tm	.tm
451	.tn	.tn
452	.to	.to
453	.tp	.tp
454	.tr	.tr
455	.tt	.tt
456	.tw	.tw
457	.tz	.tz
458	.ua	.ua
459	.ug	.ug
460	.uk	.uk
461	.us	.us
462	.uy	.uy
463	.va	.va
464	.vc	.vc
465	.ve	.ve
466	.vg	.vg
467	.vn	.vn
468	.vu	.vu
469	.wf	.wf
470	.ws	.ws
471	.ye	.ye
472	.yu	.yu
473	.za	.za
474	.zm	.zm
475	.zr	.zr
476	.zw	.zw
477	R.O.C.	R.O.C.
478	ROC	ROC
479	SOHU	SOHU
480	SARS	SARS
481	非典	非典
482	731	731
483	七三一	七三一
484	大法	大法
485	法轮大法	法轮大法
486	法輪大法	法輪大法
487	圆满	圆满
488	圓滿	圓滿
489	自焚	自焚
490	政治	政治
491	国民党	国民党
492	國民黨	國民黨
493	邓小平	邓小平
494	鄧小平	鄧小平
495	拉登	拉登
496	李洪志	李洪志
497	李宏志	李宏志
498	李红志	李红志
499	李紅志	李紅志
500	李鹏	李鹏
501	李鵬	李鵬
502	毛泽东	毛泽东
503	毛澤東	毛澤東
504	萨达姆	萨达姆
505	薩達姆	薩達姆
506	周恩来	周恩来
507	周恩來	周恩來
508	朱镕基	朱镕基
509	朱鎔基	朱鎔基
510	温家宝	温家宝
511	溫家寶	溫家寶
512	希特勒	希特勒
513	墨索里尼	墨索里尼
514	山本五十六	山本五十六
515	东条英机	东条英机
516	東條英機	東條英機
517	天皇	天皇
518	立法委员	立法委员
519	立法委員	立法委員
520	民国	民国
521	民國	民國
522	青天白日	青天白日
523	三民主义	三民主义
524	三民主義	三民主義
525	台湾	台湾
526	臺灣	臺灣
527	中央人民共和国	中央人民共和国
528	中央人民共和國	中央人民共和國
529	国务院	国务院
530	國務院	國務院
531	党中央	党中央
532	黨中央	黨中央
533	中央军委	中央军委
534	中央軍委	中央軍委
535	主义	主义
536	主義	主義
537	封建	封建
538	靖国	靖国
539	靖國	靖國
540	神社	神社
541	法西斯	法西斯
542	纳粹	纳粹
543	納粹	納粹
544	盖世太保	盖世太保
545	蓋世太保	蓋世太保
546	集中营	集中营
547	集中營	集中營
548	恐怖	恐怖
549	贪污	贪污
550	貪污	貪污
551	腐败	腐败
552	腐敗	腐敗
553	杀人	杀人
554	殺人	殺人
555	抢劫	抢劫
556	搶劫	搶劫
557	吸毒	吸毒
558	毒品	毒品
559	犯罪	犯罪
560	福尔摩莎	福尔摩莎
561	福爾摩莎	福爾摩莎
562	张潮阳	张潮阳
563	張潮陽	張潮陽
564	告示	告示
565	工作人員	工作人員
566	工作人员	工作人员
567	公告	公告
568	好消息	好消息
569	客戶服務	客戶服務
570	客服	客服
571	客户服务	客户服务
572	消息	消息
573	中獎	中獎
574	中奖	中奖
575	中獎	中獎
576	礼品	礼品
577	禮品	禮品
578	赠品	赠品
579	贈品	贈品
580	派送	派送
581	发送	发送
582	發送	發送
583	发奖	发奖
584	發獎	發獎
585	奖品	奖品
586	獎品	獎品
587	送出	送出
588	派发	派发
589	派發	派發
590	抽奖	抽奖
591	抽獎	抽獎
592	同性恋	同性恋
593	同性戀	同性戀
594	变态	变态
595	變態	變態
596	娼妓	娼妓
597	妓女	妓女
598	淫	淫
599	你妈	你妈
600	你媽	你媽
601	强奸	强奸
602	強姦	強姦
603	傻逼	傻逼
604	%国民党%	%国民党%
605	%國民黨%	%國民黨%
606	%江%泽%民%	%江%泽%民%
607	%江%澤%民%	%江%澤%民%
608	%江%贼%民%	%江%贼%民%
609	%江%賊%民%	%江%賊%民%
610	%江%择%民%	%江%择%民%
611	%江%擇%民%	%江%擇%民%
612	%胡%锦%涛%	%胡%锦%涛%
613	%胡%錦%濤%	%胡%錦%濤%
614	%胡%紧%掏%	%胡%紧%掏%
615	%胡%緊%掏%	%胡%緊%掏%
616	%胡%紧%套%	%胡%紧%套%
617	%胡%緊%套%	%胡%緊%套%
618	胡XX	胡XX
619	%朱%容%基%	%朱%容%基%
620	%朱%容%鸡%	%朱%容%鸡%
621	%朱%容%雞%	%朱%容%雞%
622	%猪%容%基%	%猪%容%基%
623	%豬%容%基%	%豬%容%基%
624	%李%鹏%	%李%鹏%
625	%李%鵬%	%李%鵬%
626	%李%岚%清%	%李%岚%清%
627	%李%嵐%清%	%李%嵐%清%
628	%温%家%宝%	%温%家%宝%
629	%溫%家%寶%	%溫%家%寶%
630	%乔%石%	%乔%石%
631	%喬%石%	%喬%石%
632	%黄%菊%	%黄%菊%
633	%黃%菊%	%黃%菊%
634	%曾%庆%红%	%曾%庆%红%
635	%曾%慶%紅%	%曾%慶%紅%
636	%贾%庆%林%	%贾%庆%林%
637	%賈%慶%林%	%賈%慶%林%
638	%王%宝%森%	%王%宝%森%
639	%王%寶%森%	%王%寶%森%
640	%董%建%华%	%董%建%华%
641	%董%建%華%	%董%建%華%
642	%董%贱%华%	%董%贱%华%
643	%董%賤%華%	%董%賤%華%
644	%何%候%华%	%何%候%华%
645	%何%候%華%	%何%候%華%
646	%强%卫%	%强%卫%
647	%強%衛%	%強%衛%
648	%罗%干%	%罗%干%
649	%羅%幹%	%羅%幹%
650	%骡%干%	%骡%干%
651	%騾%幹%	%騾%幹%
652	%毛%泽%东%	%毛%泽%东%
653	%毛%澤%東%	%毛%澤%東%
654	毛XX	毛XX
655	%邓%小%平%	%邓%小%平%
656	%鄧%小%平%	%鄧%小%平%
657	%周%恩%来%	%周%恩%来%
658	%周%恩%來%	%周%恩%來%
659	%林%彪%	%林%彪%
660	%江%青%	%江%青%
661	布什	布什
662	布希	布希
663	普京	普京
664	本·拉登	本·拉登
665	安南	安南
666	孙楠	孙楠
667	孫楠	孫楠
668	晚年周恩来	晚年周恩来
669	晚年周恩來	晚年周恩來
670	gc365	gc365
671	官逼民反	官逼民反
672	一党专制	一党专制
673	一黨專制	一黨專制
674	共匪	共匪
675	中共	中共
676	警匪一家	警匪一家
677	三个代婊	三个代婊
678	三個代婊	三個代婊
679	万税	万税
680	萬稅	萬稅
681	卖.国	卖.国
682	賣.國	賣.國
683	卖国	卖国
684	賣國	賣國
685	六月四日	六月四日
686	六.四	六.四
687	6月4日	6月4日
688	天安门档案	天安门档案
689	天安門檔案	天安門檔案
690	FLG	FLG
691	F.L.G	F.L.G
692	大法弟子	大法弟子
693	多维新闻	多维新闻
694	多維新聞	多維新聞
695	大%FA弟%子	大%FA弟%子
696	李宏旨	李宏旨
697	李弘旨	李弘旨
698	梅花网	梅花网
699	梅花網	梅花網
700	动乱	动乱
701	動亂	動亂
702	暴乱	暴乱
703	暴亂	暴亂
704	八九	八九
705	法%轮%功	法%轮%功
706	法%輪%功	法%輪%功
707	%六%四%	%六%四%
708	liusi	liusi
709	真相	真相
710	一个事实	一个事实
711	一個事實	一個事實
712	游行	游行
713	遊行	遊行
714	民主	民主
715	4.25	4.25
716	回教	回教
717	伊斯兰	伊斯兰
718	伊斯蘭	伊斯蘭
719	穆斯林	穆斯林
720	社. 会. 正. 义. 力. 量	社. 会. 正. 义. 力. 量
721	社. 會. 正. 義. 力. 量	社. 會. 正. 義. 力. 量
722	法(轮)功	法(轮)功
723	法(輪)功	法(輪)功
724	劳+教+所	劳+教+所
725	勞+教+所	勞+教+所
726	台独	台独
727	台獨	台獨
728	台湾独立	台湾独立
729	臺灣獨立	臺灣獨立
730	陈水扁	陈水扁
731	陳水扁	陳水扁
732	李登辉	李登辉
733	李登輝	李登輝
734	东亚病夫	东亚病夫
735	東亞病夫	東亞病夫
736	大东亚共荣	大东亚共荣
737	大東亞共榮	大東亞共榮
738	%6%4%	%6%4%
739	政变	政变
740	政變	政變
741	镇压	镇压
742	鎮壓	鎮壓
743	反动	反动
744	反動	反動
745	敬国神社	敬国神社
746	敬國神社	敬國神社
747	中华民国	中华民国
748	中華民國	中華民國
749	中华人民共和国	中华人民共和国
750	中華人民共和國	中華人民共和國
751	卖党求荣	卖党求荣
752	賣党求榮	賣党求榮
753	卖国求荣	卖国求荣
754	賣國求榮	賣國求榮
755	红卫兵	红卫兵
756	紅衛兵	紅衛兵
757	十年动乱	十年动乱
758	十年動亂	十年動亂
759	反革命	反革命
760	转法轮	转法轮
761	轉法輪	轉法輪
762	东突	东突
763	東突	東突
764	东突组织	东突组织
765	東突組織	東突組織
766	分裂祖国	分裂祖国
767	分裂祖國	分裂祖國
768	莫索里尼	莫索里尼
769	莫索裡尼	莫索裡尼
770	军国主义	军国主义
771	軍國主義	軍國主義
772	%8%9%	%8%9%
773	china	china
774	四人帮	四人帮
775	四人幫	四人幫
776	天皇陛下	天皇陛下
777	邪教	邪教
778	基地组织	基地组织
779	基地組織	基地組織
780	乳头	乳头
781	乳頭	乳頭
782	火棒	火棒
783	肉棍子	肉棍子
784	阴户	阴户
785	陰戶	陰戶
786	湿透的内裤	湿透的内裤
787	濕透的內褲	濕透的內褲
788	两腿之间	两腿之间
789	兩腿之間	兩腿之間
790	欲火焚身	欲火焚身
791	插深些	插深些
792	硬挺	硬挺
793	阳精	阳精
794	陽精	陽精
795	口交	口交
796	肛交	肛交
797	阴唇	阴唇
798	陰唇	陰唇
799	小肉粒	小肉粒
800	阴毛	阴毛
801	陰毛	陰毛
802	阴核	阴核
803	陰核	陰核
804	干你	干你
805	幹你	幹你
806	操比	操比
807	操逼	操逼
808	后庭	后庭
809	後庭	後庭
810	双峰微颤	双峰微颤
811	雙峰微顫	雙峰微顫
812	贝肉	贝肉
813	貝肉	貝肉
814	玉杵	玉杵
815	密洞	密洞
816	抽插	抽插
817	乳波臀浪	乳波臀浪
818	淫语连连	淫语连连
819	淫語連連	淫語連連
820	小穴	小穴
821	圣女峰	圣女峰
822	聖女峰	聖女峰
823	乳交	乳交
824	打飞机	打飞机
825	打飛機	打飛機
826	想上你	想上你
827	狗日	狗日
828	操你妈	操你妈
829	操你媽	操你媽
830	鸡奸	鸡奸
831	雞奸	雞奸
832	妈逼	妈逼
833	媽逼	媽逼
834	日你妈	日你妈
835	日你媽	日你媽
836	性交	性交
837	性爱	性爱
838	性愛	性愛
839	做爱	做爱
840	做愛	做愛
841	轮奸	轮奸
842	輪奸	輪奸
843	淫荡	淫荡
844	淫蕩	淫蕩
845	荡妇	荡妇
846	蕩婦	蕩婦
847	奸夫淫妇	奸夫淫妇
848	姦夫淫婦	姦夫淫婦
849	波霸	波霸
850	大波波	大波波
851	乳房	乳房
852	奶头	奶头
853	奶子	奶子
854	鸡鸡	鸡鸡
855	雞雞	雞雞
856	肉洞	肉洞
857	阴茎	阴茎
858	陰莖	陰莖
859	操XX	操XX
860	性虐待	性虐待
861	2逼	2逼
862	你大爷	你大爷
863	你大爺	你大爺
864	你二大爷	你二大爷
865	你二大爺	你二大爺
866	抽你丫的	抽你丫的
867	你姥姥的	你姥姥的
868	你爷爷的	你爷爷的
869	你爺爺的	你爺爺的
870	你妈的	你妈的
871	你媽的	你媽的
872	手淫	手淫
873	三陪	三陪
874	三陪女	三陪女
875	坐台的	坐台的
876	淫欲	淫欲
877	操你八辈祖宗	操你八辈祖宗
878	操你八輩祖宗	操你八輩祖宗
879	贱人	贱人
880	賤人	賤人
881	淫贱	淫贱
882	淫賤	淫賤
883	推油	推油
884	淫叫	淫叫
885	肛门	肛门
886	肛門	肛門
887	屁眼	屁眼
888	肉穴	肉穴
889	生孩子没屁眼	生孩子没屁眼
890	生孩子沒屁眼	生孩子沒屁眼
891	弓虽女干	弓虽女干
892	弓雖女幹	弓雖女幹
893	睾丸	睾丸
894	月经不调	月经不调
895	月經不調	月經不調
896	受虐狂	受虐狂
897	射精	射精
898	吃屎	吃屎
899	吃大便	吃大便
900	逼毛	逼毛
901	比毛	比毛
902	叫鸡	叫鸡
903	叫雞	叫雞
904	叫小姐	叫小姐
905	性欲	性欲
906	SM	SM
907	TNND	TNND
908	TMD	TMD
909	NND	NND
910	SB	SB
911	BC	BC
912	SHIT	SHIT
913	SUCK	SUCK
914	DICK	DICK
915	ASS	ASS
916	PUSSY	PUSSY
917	FUCK YOU	FUCK YOU
918	game master	game master
919	ｇｍ	ｇｍ
920	ＧＡＭＥ　ｍａｓｔｅｒ	ＧＡＭＥ　ｍａｓｔｅｒ
921	%刀%剑%	%刀%剑%
922	%刀%劍%	%刀%劍%
923	%管%理%员%	%管%理%员%
924	%管%理%員%	%管%理%員%
925	%东%亚%圣战%	%东%亚%圣战%
926	%東%亞%聖戰%	%東%亞%聖戰%
927	%李%宏%志	%李%宏%志
928	%张%朝%陽%	%张%朝%陽%
929	%張%朝%陽%	%張%朝%陽%
930	系统提示	系统提示
931	系統提示	系統提示
932	温馨提示	温馨提示
933	溫馨提示	溫馨提示
934	系統信息	系統信息
935	[	[
936	]	]
937	01CDK	01CDK
938	02CDK	02CDK
939	十七大	十七大
940	开利财经	开利财经
941	開利財經	開利財經
942	宋平	宋平
943	省市换班	省市换班
944	省市換班	省市換班
945	胡温	胡温
946	胡溫	胡溫
947	霍英东	霍英东
948	霍英東	霍英東
949	$G	$G
950	$R	$R
951	$N	$N
952	信息	信息
953	获奖	获奖
954	獲獎	獲獎
955	颁奖	颁奖
956	頒獎	頒獎
957	客户	客户
958	客戶	客戶
959	送礼	送礼
960	送禮	送禮
961	派放	派放
962	温馨	温馨
963	溫馨	溫馨
964	www	www
965	．com	．com
966	。com	。com
967	，com	，com
968	",com"	",com"
969	．net	．net
970	。net	。net
971	，net	，net
972	",net"	",net"
973	．org	．org
974	。org	。org
975	，org	，org
976	",org"	",org"
977	．edu	．edu
978	。edu	。edu
979	，edu	，edu
980	",edu"	",edu"
981	．gov	．gov
982	。gov	。gov
983	，gov	，gov
984	",gov"	",gov"
985	慰安妇	慰安妇
986	慰安婦	慰安婦
987	支那	支那
988	汉奸	汉奸
989	漢奸	漢奸
990	皇军	皇军
991	皇軍	皇軍
992	在线	在线
993	線上	線上
994	新疆独立	新疆独立
995	新疆獨立	新疆獨立
996	新疆 独立	新疆 独立
997	新疆 獨立	新疆 獨立
998	台湾 独立	台湾 独立
999	臺灣 獨立	臺灣 獨立
1000	台 湾 独 立	台 湾 独 立
1001	台 灣 獨 立	台 灣 獨 立
1002	台湾万岁	台湾万岁
1003	臺灣萬歲	臺灣萬歲
1004	台湾 万岁	台湾 万岁
1005	臺灣 萬歲	臺灣 萬歲
1006	台 湾 万 岁	台 湾 万 岁
1007	台 灣 萬 歲	台 灣 萬 歲
1008	新 疆 独 立	新 疆 独 立
1009	新 疆 獨 立	新 疆 獨 立
1010	西藏独立	西藏独立
1011	西藏獨立	西藏獨立
1012	西藏 独立	西藏 独立
1013	西藏 獨立	西藏 獨立
1014	西 藏 独 立	西 藏 独 立
1015	西 藏 獨 立	西 藏 獨 立
1016	幸运玩家	幸运玩家
1017	幸運玩家	幸運玩家
1018	幸 运 玩 家	幸 运 玩 家
1019	幸 運 玩 家	幸 運 玩 家
1020	中奖玩家	中奖玩家
1021	中獎玩家	中獎玩家
1022	中 奖 玩 家	中 奖 玩 家
1023	中 獎 玩 家	中 獎 玩 家
1024	法 轮 功	法 轮 功
1025	法 輪 功	法 輪 功
1026	法轮 功	法轮 功
1027	法輪 功	法輪 功
1028	法 轮功	法 轮功
1029	法 輪功	法 輪功
1030	系&统 	系&统 
1031	系&統	系&統
1032	系！统	系！统
1033	系！統	系！統
1034	系@统	系@统
1035	系@統	系@統
1036	系#统	系#统
1037	系#統	系#統
1038	系￥统	系￥统
1039	系￥統	系￥統
1040	系%统	系%统
1041	系%統	系%統
1042	系……统	系……统
1043	系……統	系……統
1044	系*统	系*统
1045	系*統	系*統
1046	系（统	系（统
1047	系（統	系（統
1048	系）统	系）统
1049	系）統	系）統
1050	系。统	系。统
1051	系。統	系。統
1052	系;统	系;统
1053	系;統	系;統
1054	系?统	系?统
1055	系?統	系?統
1056	系~统	系~统
1057	系~統	系~統
1058	系：统	系：统
1059	系：統	系：統
1060	系“统	系“统
1061	系“統	系“統
1062	系'统	系'统
1063	系'統	系'統
1064	"系,统"	"系,统"
1065	"系,統"	"系,統"
1066	系<统	系<统
1067	系<統	系<統
1068	系>统	系>统
1069	系>統	系>統
1070	系^统	系^统
1071	系^統	系^統
1072	系、统	系、统
1073	系、統	系、統
1074	系-统	系-统
1075	系-統	系-統
1076	系=统	系=统
1077	系=統	系=統
1078	系.统	系.统
1079	系.統	系.統
1080	系\统	系\统
1081	系\統	系\統
1082	系/统	系/统
1083	系/統	系/統
1084	系【统 	系【统 
1085	系【統	系【統
1086	系】统 	系】统 
1087	系】統	系】統
1088	系{统 	系{统 
1089	系{統	系{統
1090	系}统 	系}统 
1091	系}統	系}統
1092	&系&统 	&系&统 
1093	&系&統	&系&統
1094	&系！统	&系！统
1095	&系！統	&系！統
1096	&系@统	&系@统
1097	&系@統	&系@統
1098	&系#统	&系#统
1099	&系#統	&系#統
1100	&系￥统	&系￥统
1101	&系￥統	&系￥統
1102	&系%统	&系%统
1103	&系%統	&系%統
1104	&系……统	&系……统
1105	&系……統	&系……統
1106	&系*统	&系*统
1107	&系*統	&系*統
1108	&系（统	&系（统
1109	&系（統	&系（統
1110	&系）统	&系）统
1111	&系）統	&系）統
1112	&系。统	&系。统
1113	&系。統	&系。統
1114	&系;统	&系;统
1115	&系;統	&系;統
1116	&系?统	&系?统
1117	&系?統	&系?統
1118	&系~统	&系~统
1119	&系~統	&系~統
1120	&系：统	&系：统
1121	&系：統	&系：統
1122	&系“统	&系“统
1123	&系“統	&系“統
